# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-3761  [000] .... 259068.723055: tracing_mark_write: start iozone:-I -O -i 0 -s 64 -r 4 -f /sdcard/tmp
     irq/77-mmc1-93    [002] ...1 259068.904726: mmc_retune_release <-mmc_wait_for_req_done
     irq/77-mmc1-93    [002] ...1 259068.904744: mmc_release_host <-sdio_run_irqs
    kworker/u8:2-3605  [001] ...1 259068.904805: mmc_io_rw_direct <-sdio_writeb
    kworker/u8:2-3605  [001] ...1 259068.904807: mmc_io_rw_direct_host <-mmc_io_rw_direct
    kworker/u8:2-3605  [001] ...1 259068.904808: mmc_wait_for_cmd <-mmc_io_rw_direct_host
    kworker/u8:2-3605  [001] ...1 259068.904809: mmc_wait_for_req <-mmc_wait_for_cmd
    kworker/u8:2-3605  [001] ...1 259068.904810: mmc_start_request <-mmc_wait_for_req
    kworker/u8:2-3605  [001] ...1 259068.904811: mmc_retune_hold <-mmc_start_request
    kworker/u8:2-3605  [001] ...1 259068.904813: mmc_retune <-__mmc_start_request
    kworker/u8:2-3605  [001] ...1 259068.904819: mmc_wait_for_req_done <-mmc_wait_for_req
          <idle>-0     [002] ..s2 259068.904828: mmc_request_done <-bcm2835_mmc_tasklet_finish
          <idle>-0     [002] ..s2 259068.904830: mmc_wait_done <-mmc_request_done
    kworker/u8:2-3605  [002] ...1 259068.904847: mmc_retune_release <-mmc_wait_for_req_done
    kworker/u8:2-3605  [002] ...1 259068.904850: mmc_io_rw_direct <-sdio_readb
    kworker/u8:2-3605  [002] ...1 259068.904850: mmc_io_rw_direct_host <-mmc_io_rw_direct
    kworker/u8:2-3605  [002] ...1 259068.904851: mmc_wait_for_cmd <-mmc_io_rw_direct_host
    kworker/u8:2-3605  [002] ...1 259068.904852: mmc_wait_for_req <-mmc_wait_for_cmd
    kworker/u8:2-3605  [002] ...1 259068.904853: mmc_start_request <-mmc_wait_for_req
    kworker/u8:2-3605  [002] ...1 259068.904854: mmc_retune_hold <-mmc_start_request
    kworker/u8:2-3605  [002] ...1 259068.904855: mmc_retune <-__mmc_start_request
    kworker/u8:2-3605  [002] ...1 259068.904860: mmc_wait_for_req_done <-mmc_wait_for_req
          iozone-3762  [003] ..s1 259068.904867: mmc_request_done <-bcm2835_mmc_tasklet_finish
          iozone-3762  [003] ..s1 259068.904870: mmc_wait_done <-mmc_request_done
    kworker/u8:2-3605  [002] ...1 259068.904879: mmc_retune_release <-mmc_wait_for_req_done
    kworker/u8:2-3605  [002] ...1 259068.904884: mmc_release_host <-sdio_release_host
    kworker/u8:2-3605  [002] ...1 259068.904896: mmc_io_rw_extended <-sdio_io_rw_ext_helper
    kworker/u8:2-3605  [002] ...1 259068.904897: mmc_set_data_timeout <-mmc_io_rw_extended
    kworker/u8:2-3605  [002] ...1 259068.904898: mmc_wait_for_req <-mmc_io_rw_extended
    kworker/u8:2-3605  [002] ...1 259068.904899: mmc_start_request <-mmc_wait_for_req
    kworker/u8:2-3605  [002] ...1 259068.904900: mmc_retune_hold <-mmc_start_request
    kworker/u8:2-3605  [002] ...1 259068.904901: mmc_retune <-__mmc_start_request
    kworker/u8:2-3605  [002] ...1 259068.904912: mmc_wait_for_req_done <-mmc_wait_for_req
          <idle>-0     [001] ..s2 259068.904925: mmc_request_done <-bcm2835_mmc_tasklet_finish
          <idle>-0     [001] ..s2 259068.904928: mmc_wait_done <-mmc_request_done
    kworker/u8:2-3605  [001] ...1 259068.904938: mmc_retune_release <-mmc_wait_for_req_done
    kworker/u8:2-3605  [001] ...1 259068.904949: mmc_io_rw_extended <-sdio_io_rw_ext_helper
    kworker/u8:2-3605  [001] ...1 259068.904950: mmc_set_data_timeout <-mmc_io_rw_extended
    kworker/u8:2-3605  [001] ...1 259068.904951: mmc_wait_for_req <-mmc_io_rw_extended
    kworker/u8:2-3605  [001] ...1 259068.904952: mmc_start_request <-mmc_wait_for_req
    kworker/u8:2-3605  [001] ...1 259068.904953: mmc_retune_hold <-mmc_start_request
    kworker/u8:2-3605  [001] ...1 259068.904954: mmc_retune <-__mmc_start_request
    kworker/u8:2-3605  [001] ...1 259068.904966: mmc_wait_for_req_done <-mmc_wait_for_req
          iozone-3762  [003] ..s1 259068.904986: mmc_request_done <-bcm2835_mmc_tasklet_finish
          iozone-3762  [003] ..s1 259068.904988: mmc_wait_done <-mmc_request_done
    kworker/u8:2-3605  [001] ...1 259068.904996: mmc_retune_release <-mmc_wait_for_req_done
    kworker/u8:2-3605  [001] ...1 259068.904997: mmc_release_host <-sdio_release_host
    kworker/u8:2-3605  [001] ...1 259068.905064: mmc_io_rw_extended <-sdio_io_rw_ext_helper
    kworker/u8:2-3605  [001] ...1 259068.905065: mmc_set_data_timeout <-mmc_io_rw_extended
    kworker/u8:2-3605  [001] ...1 259068.905066: mmc_wait_for_req <-mmc_io_rw_extended
    kworker/u8:2-3605  [001] ...1 259068.905067: mmc_start_request <-mmc_wait_for_req
    kworker/u8:2-3605  [001] ...1 259068.905068: mmc_retune_hold <-mmc_start_request
    kworker/u8:2-3605  [001] ...1 259068.905069: mmc_retune <-__mmc_start_request
    kworker/u8:2-3605  [001] ...1 259068.905080: mmc_wait_for_req_done <-mmc_wait_for_req
    kworker/u8:2-3605  [001] ..s2 259068.905093: mmc_request_done <-bcm2835_mmc_tasklet_finish
    kworker/u8:2-3605  [001] ..s2 259068.905095: mmc_wait_done <-mmc_request_done
    kworker/u8:2-3605  [001] ...1 259068.905102: mmc_retune_release <-mmc_wait_for_req_done
    kworker/u8:2-3605  [001] ...1 259068.905104: mmc_release_host <-sdio_release_host
 brcmf_wdog/mmc1-201   [002] ...1 259068.926788: mmc_io_rw_direct <-sdio_writeb
 brcmf_wdog/mmc1-201   [002] ...1 259068.926795: mmc_io_rw_direct_host <-mmc_io_rw_direct
 brcmf_wdog/mmc1-201   [002] ...1 259068.926797: mmc_wait_for_cmd <-mmc_io_rw_direct_host
 brcmf_wdog/mmc1-201   [002] ...1 259068.926798: mmc_wait_for_req <-mmc_wait_for_cmd
 brcmf_wdog/mmc1-201   [002] ...1 259068.926800: mmc_start_request <-mmc_wait_for_req
 brcmf_wdog/mmc1-201   [002] ...1 259068.926801: mmc_retune_hold <-mmc_start_request
 brcmf_wdog/mmc1-201   [002] ...1 259068.926803: mmc_retune <-__mmc_start_request
 brcmf_wdog/mmc1-201   [002] ...1 259068.926826: mmc_wait_for_req_done <-mmc_wait_for_req
          <idle>-0     [000] ..s2 259068.926839: mmc_request_done <-bcm2835_mmc_tasklet_finish
          <idle>-0     [000] ..s2 259068.926844: mmc_wait_done <-mmc_request_done
 brcmf_wdog/mmc1-201   [000] ...1 259068.926858: mmc_retune_release <-mmc_wait_for_req_done
 brcmf_wdog/mmc1-201   [000] ...1 259068.926863: mmc_release_host <-sdio_release_host
    kworker/u8:3-3619  [002] ...1 259069.016321: mmc_init_request <-alloc_request_size
    kworker/u8:3-3619  [002] ...1 259069.016359: mmc_init_request <-alloc_request_size
    kworker/u8:3-3619  [002] ...1 259069.016374: mmc_init_request <-alloc_request_size
    kworker/u8:3-3619  [002] d..2 259069.016406: mmc_request_fn <-__blk_run_queue
         mmcqd/0-339   [003] d..2 259069.016427: mmc_prep_request <-blk_peek_request
         mmcqd/0-339   [003] d..2 259069.016431: mmc_access_rpmb <-mmc_prep_request
         mmcqd/0-339   [003] ...1 259069.016434: mmc_blk_issue_rq <-mmc_queue_thread
         mmcqd/0-339   [003] ...1 259069.016436: mmc_get_card <-mmc_blk_issue_rq
         mmcqd/0-339   [003] ...1 259069.016443: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
         mmcqd/0-339   [003] ...1 259069.016446: mmc_blk_rw_rq_prep <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [003] ...1 259069.016448: mmc_set_data_timeout <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [003] ...1 259069.016451: mmc_queue_map_sg <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [003] ...1 259069.016456: mmc_start_areq <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [003] ...1 259069.016459: mmc_start_request <-mmc_start_areq
         mmcqd/0-339   [003] ...1 259069.016461: mmc_retune_hold <-mmc_start_request
         mmcqd/0-339   [003] ...1 259069.016469: mmc_retune <-__mmc_start_request
         mmcqd/0-339   [003] .... 259069.016554: mmc_request_start: mmc0: start struct mmc_request[ffffffc030317540]: cmd_opcode=24 cmd_arg=0x805 cmd_flags=0xb5 cmd_retries=0 stop_opcode=0 stop_arg=0x0 stop_flags=0x0 stop_retries=0 sbc_opcode=0 sbc_arg=0x0 sbc_flags=0x0 sbc_retires=0 blocks=1 block_size=512 blk_addr=0 data_flags=0x100 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
         mmcqd/0-339   [003] d..1 259069.016564: bcm2835_sdhost_request: read:SDEDM:00010801
         mmcqd/0-339   [003] d..1 259069.016569: bcm2835_sdhost_send_command: read:SDCMD:0000000d
         mmcqd/0-339   [003] d..1 259069.016572: bcm2835_sdhost_send_command: read:SDHSTS:00000000
         mmcqd/0-339   [003] d..1 259069.016574: bcm2835_sdhost_send_command: write:SDHCFG:0000041e
         mmcqd/0-339   [003] d..1 259069.016575: bcm2835_sdhost_send_command: write:SDHBCT:00000200
         mmcqd/0-339   [003] d..1 259069.016576: bcm2835_sdhost_send_command: write:SDHBLC:00000001
         mmcqd/0-339   [003] d..1 259069.016577: bcm2835_sdhost_send_command: write:SDARG:00000805
         mmcqd/0-339   [003] d..1 259069.016579: bcm2835_sdhost_send_command: write:SDCMD:00008098
         mmcqd/0-339   [003] d..1 259069.016582: bcm2835_sdhost_finish_command: read:SDCMD:00008098
         mmcqd/0-339   [003] d..1 259069.016583: bcm2835_sdhost_finish_command: read:SDCMD:00000098
         mmcqd/0-339   [003] d..1 259069.016585: bcm2835_sdhost_finish_command: read:SDRSP0:00000900
          <idle>-0     [001] d.h2 259069.016590: bcm2835_sdhost_irq: read:SDHSTS:00000001
         mmcqd/0-339   [003] d..2 259069.016591: mmc_prep_request <-blk_peek_request
         mmcqd/0-339   [003] d..2 259069.016592: mmc_access_rpmb <-mmc_prep_request
          <idle>-0     [001] d.h2 259069.016592: bcm2835_sdhost_irq: write:SDHSTS:00000701
         mmcqd/0-339   [003] ...1 259069.016593: mmc_blk_issue_rq <-mmc_queue_thread
         mmcqd/0-339   [003] ...1 259069.016594: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
         mmcqd/0-339   [003] ...1 259069.016595: mmc_blk_rw_rq_prep <-mmc_blk_issue_rw_rq
          <idle>-0     [001] d.h2 259069.016595: bcm2835_sdhost_irq: write:SDHCFG:0000050e
         mmcqd/0-339   [003] ...1 259069.016596: mmc_set_data_timeout <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [003] ...1 259069.016597: mmc_queue_map_sg <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [003] ...1 259069.016599: mmc_start_areq <-mmc_blk_issue_rw_rq
          <idle>-0     [001] d.h3 259069.016600: bcm2835_sdhost_transfer_pio: read:SDEDM:0001080a
          <idle>-0     [001] d.h3 259069.016602: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016603: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016604: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016605: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016606: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016607: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016608: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016609: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016611: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016612: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016613: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016614: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016615: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016616: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016617: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016618: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016620: bcm2835_sdhost_transfer_pio: read:SDEDM:00010803
          <idle>-0     [001] d.h3 259069.016621: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016622: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016623: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016624: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016625: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016627: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016628: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016629: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016630: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016631: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016632: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016633: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016634: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016636: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016637: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016638: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016639: bcm2835_sdhost_transfer_pio: read:SDEDM:00010803
          <idle>-0     [001] d.h3 259069.016640: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016641: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016642: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016644: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016645: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016646: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016647: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016648: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016649: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016650: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016651: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016652: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016654: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016655: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016656: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016657: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016658: bcm2835_sdhost_transfer_pio: read:SDEDM:00010803
          <idle>-0     [001] d.h3 259069.016659: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016660: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016661: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016663: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016664: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016665: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016666: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016667: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016668: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016669: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016670: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016672: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016673: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016674: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016675: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016676: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016677: bcm2835_sdhost_transfer_pio: read:SDEDM:00010803
          <idle>-0     [001] d.h3 259069.016678: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016679: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016681: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016682: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016683: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016684: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016685: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016686: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016690: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016691: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016692: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016693: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016694: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016695: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016696: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016697: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016699: bcm2835_sdhost_transfer_pio: read:SDEDM:00010803
          <idle>-0     [001] d.h3 259069.016700: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016701: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016702: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016703: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016704: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016705: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016707: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016708: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016709: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016710: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016711: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016712: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016713: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016714: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016715: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016717: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016718: bcm2835_sdhost_transfer_pio: read:SDEDM:00010803
          <idle>-0     [001] d.h3 259069.016719: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016720: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016721: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016722: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016723: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016724: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016726: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016727: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016728: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016729: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016730: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016731: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016732: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016733: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016734: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016736: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016737: bcm2835_sdhost_transfer_pio: read:SDEDM:00010803
          <idle>-0     [001] d.h3 259069.016738: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016739: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016740: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016741: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016743: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016744: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016745: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016746: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
          <idle>-0     [001] d.h3 259069.016747: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
